engine_id,full_lifetime,cutoff_cycle,true_raw_rul,fraction
22,202,101,101,0.5
22,202,131,71,0.65
22,202,162,40,0.8
22,202,182,20,0.9
22,202,192,10,0.95
27,156,78,78,0.5
27,156,101,55,0.65
27,156,125,31,0.8
27,156,140,16,0.9
27,156,148,8,0.95
31,234,117,117,0.5
31,234,152,82,0.65
31,234,187,47,0.8
31,234,211,23,0.9
31,234,222,12,0.95
33,200,100,100,0.5
33,200,130,70,0.65
33,200,160,40,0.8
33,200,180,20,0.9
33,200,190,10,0.95
34,195,98,97,0.5
34,195,127,68,0.65
34,195,156,39,0.8
34,195,176,19,0.9
34,195,185,10,0.95
38,194,97,97,0.5
38,194,126,68,0.65
38,194,155,39,0.8
38,194,175,19,0.9
38,194,184,10,0.95
46,256,128,128,0.5
46,256,166,90,0.65
46,256,205,51,0.8
46,256,230,26,0.9
46,256,243,13,0.95
49,215,108,107,0.5
49,215,140,75,0.65
49,215,172,43,0.8
49,215,194,21,0.9
49,215,204,11,0.95
50,198,99,99,0.5
50,198,129,69,0.65
50,198,158,40,0.8
50,198,178,20,0.9
50,198,188,10,0.95
77,154,77,77,0.5
77,154,100,54,0.65
77,154,123,31,0.8
77,154,139,15,0.9
77,154,146,8,0.95
81,240,120,120,0.5
81,240,156,84,0.65
81,240,192,48,0.8
81,240,216,24,0.9
81,240,228,12,0.95
84,267,134,133,0.5
84,267,174,93,0.65
84,267,214,53,0.8
84,267,240,27,0.9
84,267,254,13,0.95
88,213,106,107,0.5
88,213,138,75,0.65
88,213,170,43,0.8
88,213,192,21,0.9
88,213,202,11,0.95
93,155,78,77,0.5
93,155,101,54,0.65
93,155,124,31,0.8
93,155,140,15,0.9
93,155,147,8,0.95
97,202,101,101,0.5
97,202,131,71,0.65
97,202,162,40,0.8
97,202,182,20,0.9
97,202,192,10,0.95
