engine_id,full_lifetime,cutoff_cycle,true_raw_rul,fraction
22,202,50,152,0.25
22,202,91,111,0.45
22,202,131,71,0.65
22,202,162,40,0.8
22,202,192,10,0.95
27,156,39,117,0.25
27,156,70,86,0.45
27,156,101,55,0.65
27,156,125,31,0.8
27,156,148,8,0.95
31,234,58,176,0.25
31,234,105,129,0.45
31,234,152,82,0.65
31,234,187,47,0.8
31,234,222,12,0.95
33,200,50,150,0.25
33,200,90,110,0.45
33,200,130,70,0.65
33,200,160,40,0.8
33,200,190,10,0.95
34,195,49,146,0.25
34,195,88,107,0.45
34,195,127,68,0.65
34,195,156,39,0.8
34,195,185,10,0.95
38,194,48,146,0.25
38,194,87,107,0.45
38,194,126,68,0.65
38,194,155,39,0.8
38,194,184,10,0.95
46,256,64,192,0.25
46,256,115,141,0.45
46,256,166,90,0.65
46,256,205,51,0.8
46,256,243,13,0.95
49,215,54,161,0.25
49,215,97,118,0.45
49,215,140,75,0.65
49,215,172,43,0.8
49,215,204,11,0.95
50,198,50,148,0.25
50,198,89,109,0.45
50,198,129,69,0.65
50,198,158,40,0.8
50,198,188,10,0.95
77,154,38,116,0.25
77,154,69,85,0.45
77,154,100,54,0.65
77,154,123,31,0.8
77,154,146,8,0.95
81,240,60,180,0.25
81,240,108,132,0.45
81,240,156,84,0.65
81,240,192,48,0.8
81,240,228,12,0.95
84,267,67,200,0.25
84,267,120,147,0.45
84,267,174,93,0.65
84,267,214,53,0.8
84,267,254,13,0.95
88,213,53,160,0.25
88,213,96,117,0.45
88,213,138,75,0.65
88,213,170,43,0.8
88,213,202,11,0.95
93,155,39,116,0.25
93,155,70,85,0.45
93,155,101,54,0.65
93,155,124,31,0.8
93,155,147,8,0.95
97,202,50,152,0.25
97,202,91,111,0.45
97,202,131,71,0.65
97,202,162,40,0.8
97,202,192,10,0.95
