engine_id,full_lifetime,cutoff_cycle,true_raw_rul,fraction
1,192,48,144,0.25
1,192,86,106,0.45
1,192,125,67,0.65
1,192,154,38,0.8
1,192,182,10,0.95
11,240,60,180,0.25
11,240,108,132,0.45
11,240,156,84,0.65
11,240,192,48,0.8
11,240,228,12,0.95
23,168,42,126,0.25
23,168,76,92,0.45
23,168,109,59,0.65
23,168,134,34,0.8
23,168,160,8,0.95
28,165,41,124,0.25
28,165,74,91,0.45
28,165,107,58,0.65
28,165,132,33,0.8
28,165,157,8,0.95
44,192,48,144,0.25
44,192,86,106,0.45
44,192,125,67,0.65
44,192,154,38,0.8
44,192,182,10,0.95
54,257,64,193,0.25
54,257,116,141,0.45
54,257,167,90,0.65
54,257,206,51,0.8
54,257,244,13,0.95
58,147,37,110,0.25
58,147,66,81,0.45
58,147,96,51,0.65
58,147,118,29,0.8
58,147,140,7,0.95
61,185,46,139,0.25
61,185,83,102,0.45
61,185,120,65,0.65
61,185,148,37,0.8
61,185,176,9,0.95
63,174,44,130,0.25
63,174,78,96,0.45
63,174,113,61,0.65
63,174,139,35,0.8
63,174,165,9,0.95
65,153,38,115,0.25
65,153,69,84,0.45
65,153,99,54,0.65
65,153,122,31,0.8
65,153,145,8,0.95
67,313,78,235,0.25
67,313,141,172,0.45
67,313,203,110,0.65
67,313,250,63,0.8
67,313,297,16,0.95
70,137,34,103,0.25
70,137,62,75,0.45
70,137,89,48,0.65
70,137,110,27,0.8
70,137,130,7,0.95
71,208,52,156,0.25
71,208,94,114,0.45
71,208,135,73,0.65
71,208,166,42,0.8
71,208,198,10,0.95
82,214,54,160,0.25
82,214,96,118,0.45
82,214,139,75,0.65
82,214,171,43,0.8
82,214,203,11,0.95
85,188,47,141,0.25
85,188,85,103,0.45
85,188,122,66,0.65
85,188,150,38,0.8
85,188,179,9,0.95
92,341,85,256,0.25
92,341,153,188,0.45
92,341,222,119,0.65
92,341,273,68,0.8
92,341,324,17,0.95
94,258,64,194,0.25
94,258,116,142,0.45
94,258,168,90,0.65
94,258,206,52,0.8
94,258,245,13,0.95
