engine_id,full_lifetime,cutoff_cycle,true_raw_rul,fraction
2,287,72,215,0.25
2,287,129,158,0.45
2,287,187,100,0.65
2,287,230,57,0.8
2,287,273,14,0.95
9,201,50,151,0.25
9,201,90,111,0.45
9,201,131,70,0.65
9,201,161,40,0.8
9,201,191,10,0.95
13,163,41,122,0.25
13,163,73,90,0.45
13,163,106,57,0.65
13,163,130,33,0.8
13,163,155,8,0.95
19,158,40,118,0.25
19,158,71,87,0.45
19,158,103,55,0.65
19,158,126,32,0.8
19,158,150,8,0.95
25,230,58,172,0.25
25,230,104,126,0.45
25,230,150,80,0.65
25,230,184,46,0.8
25,230,218,12,0.95
39,128,32,96,0.25
39,128,58,70,0.45
39,128,83,45,0.65
39,128,102,26,0.8
39,128,122,6,0.95
43,207,52,155,0.25
43,207,93,114,0.45
43,207,135,72,0.65
43,207,166,41,0.8
43,207,197,10,0.95
48,231,58,173,0.25
48,231,104,127,0.45
48,231,150,81,0.65
48,231,185,46,0.8
48,231,219,12,0.95
51,213,53,160,0.25
51,213,96,117,0.45
51,213,138,75,0.65
51,213,170,43,0.8
51,213,202,11,0.95
53,195,49,146,0.25
53,195,88,107,0.45
53,195,127,68,0.65
53,195,156,39,0.8
53,195,185,10,0.95
55,193,48,145,0.25
55,193,87,106,0.45
55,193,125,68,0.65
55,193,154,39,0.8
55,193,183,10,0.95
57,137,34,103,0.25
57,137,62,75,0.45
57,137,89,48,0.65
57,137,110,27,0.8
57,137,130,7,0.95
60,172,43,129,0.25
60,172,77,95,0.45
60,172,112,60,0.65
60,172,138,34,0.8
60,172,163,9,0.95
75,229,57,172,0.25
75,229,103,126,0.45
75,229,149,80,0.65
75,229,183,46,0.8
75,229,218,11,0.95
78,231,58,173,0.25
78,231,104,127,0.45
78,231,150,81,0.65
78,231,185,46,0.8
78,231,219,12,0.95
99,185,46,139,0.25
99,185,83,102,0.45
99,185,120,65,0.65
99,185,148,37,0.8
99,185,176,9,0.95
100,200,50,150,0.25
100,200,90,110,0.45
100,200,130,70,0.65
100,200,160,40,0.8
100,200,190,10,0.95
